date,price_TCSG,volume_TCSG,log_return_TCSG,volatility_TCSG
2022-02-04,5184.5,548835,-0.009693439306304414,0.04687858335511504
2022-02-07,5005.0,389571,-0.035235992249011854,0.047262146164343495
2022-02-08,5067.5,600682,0.012410186576834218,0.0470731390098536
2022-02-09,5698.0,1505127,0.11726763673169857,0.05385864628472682
2022-02-10,5846.5,1726909,0.025727955522519563,0.05258369480095094
2022-02-11,5314.5,1624033,-0.09540425760673678,0.05540640826267572
2022-02-14,5223.0,1635481,-0.017366984537337687,0.05482201386079656
2022-02-15,5519.5,1798498,0.05521532702210759,0.04905580944369731
2022-02-16,5488.5,1452047,-0.005632282331035207,0.04887225266562154
2022-02-17,5147.0,1120506,-0.06424097347461669,0.050959042569048874
2022-02-18,4821.5,1519233,-0.0653289377023154,0.05322143927669541
2022-02-21,4475.0,2862648,-0.07457873124148336,0.054773121018337506
2022-02-22,4488.5,2787301,0.003012218487787352,0.05187488043483031
2022-02-24,3039.5,2692930,-0.389825542007966,0.09987708147686235
2022-02-25,3054.5,2804947,0.0049228849010444125,0.09817122515531221
2022-03-29,2990.0,771383,-0.021342525705089516,0.09789444622837327
2022-03-30,2787.9,155120,-0.06998476315332874,0.09722880697971004
2022-03-30,2980.0,362139,0.0666346762680468,0.0993114305347504
2022-03-31,3318.5,742478,0.10758957308652961,0.10411220561356291
2022-04-01,3499.5,763964,0.053107227543614674,0.10523668443624855
2022-04-04,3664.0,661394,0.045935345664426606,0.10625744100230064
2022-04-05,3601.0,492910,-0.0173438621451457,0.10617426776025578
2022-04-06,3500.0,243495,-0.028448616171370168,0.10598241889458526
2022-04-07,3470.0,226810,-0.008608374536600164,0.10112131287684287
2022-04-08,3274.5,322991,-0.057989408282796646,0.1006513630041742
2022-04-11,3269.0,165822,-0.0016810579338976958,0.09957219545459206
2022-04-12,3217.0,178575,-0.016034879485184214,0.0995775209291591
2022-04-13,3172.0,91974,-0.014086944484287739,0.09785838178791557
2022-04-14,3010.0,199860,-0.05242222501181719,0.09786243975971233
2022-04-15,2993.0,138519,-0.005663849890222439,0.09766120625453645
2022-04-18,2722.0,250731,-0.0949093246412875,0.09849098494870157
2022-04-19,2540.0,635173,-0.06920282319882909,0.09836611451436177
2022-04-20,2590.0,442030,0.019493794681001132,0.09871082993699226
2022-04-21,2485.0,204087,-0.041385216162854364,0.05024694011508285
2022-04-22,2270.0,320227,-0.09049282805528075,0.05319180152471454
2022-04-25,1908.0,458348,-0.1737242584672165,0.06398945330274869
2022-04-26,2073.0,424633,0.08294126042754779,0.06707424367480974
2022-04-27,2520.0,778716,0.19526206806968935,0.08018107730632523
2022-04-28,2700.0,1268080,0.06899287148695142,0.0776679787485184
2022-04-29,2608.0,628679,-0.03466812894587683,0.07636470501142946
2022-05-04,2402.0,358736,-0.08228192040661476,0.07638821046797156
2022-05-05,2453.0,258831,0.021010041618560345,0.07696704159151951
2022-05-06,2304.0,270586,-0.0626650224427075,0.077561541022414
2022-05-11,2245.5,221358,-0.02571852928798912,0.07751310846829669
2022-05-12,2032.0,250238,-0.09990768382942027,0.07909483997206983
2022-05-13,2130.0,254467,0.0471014500050982,0.08055342972653376
2022-05-16,2185.0,202575,0.025493848826219766,0.08123188591730549
2022-05-17,2380.0,246823,0.0854846591358299,0.08455424563017871
2022-05-18,2402.0,475508,0.00920123597440844,0.08421648041003271
2022-05-19,2236.5,325695,-0.07138957976702608,0.08526160073809441
2022-05-20,2194.0,257861,-0.019185782037727233,0.08316160371024786
2022-05-23,2129.0,153364,-0.030073975941696078,0.08216921911900821
2022-05-24,2146.5,244100,0.008186222771135818,0.08200284081293632
2022-05-25,2155.5,203901,0.004184106522574091,0.08169960196935437
2022-05-26,2220.5,262885,0.02970968054496773,0.07963827277722473
2022-05-27,2201.0,182580,-0.00882059320569524,0.06859662012845516
2022-05-30,2164.0,171992,-0.01695344156008955,0.06638829420460446
2022-05-31,2111.5,121597,-0.02455976559237382,0.04852829866105138
2022-06-01,2110.5,114220,-0.0004737091514448458,0.045023537335073346
2022-06-02,2105.0,73102,-0.00260941910607165,0.044755766136946235
2022-06-03,2018.0,154741,-0.04220854520292758,0.042207564453458746
2022-06-06,1900.0,259637,-0.060253035759022446,0.04309802349952035
2022-06-07,1859.5,239290,-0.02154625178940706,0.0415455125320159
2022-06-08,1886.0,178277,0.01415054982827814,0.04174384987471324
2022-06-09,1777.0,281908,-0.05953163503875146,0.03790141720931122
2022-06-10,1701.0,242283,-0.04371023575878956,0.03653102579319385
2022-06-14,1597.0,288914,-0.06308944418084929,0.037206043835493585
2022-06-15,1651.5,193735,0.03355709661583195,0.031083301240988223
2022-06-16,1737.0,201374,0.05047552141026058,0.03421559237779832
2022-06-17,1726.5,13400,-0.006063249411057856,0.031695795153184304
2022-06-17,1676.0,232791,-0.02968623578801866,0.031891049824074216
2022-06-20,1725.0,218670,0.028817048423431697,0.03297714069725035
2022-06-21,1673.0,169458,-0.030608628478636154,0.03295980348845772
2022-06-22,1649.0,121267,-0.014449378427225075,0.03272706723450528
2022-06-23,1654.5,166657,0.0033298048020679386,0.03140331075230304
2022-06-24,1635.0,96328,-0.011856044030313097,0.031380667589567625
2022-06-27,1672.0,121852,0.02237771031329315,0.0324567474480697
2022-06-28,1927.0,503868,0.14194387476971937,0.047277921891512004
2022-06-29,1810.0,477856,-0.06263754415449495,0.04900615772165735
2022-06-30,1804.0,337016,-0.0033204236373024112,0.04900254363781095
2022-07-01,1861.0,148102,0.0311075560196817,0.049028684598047295
2022-07-04,2012.0,293749,0.07801527457737914,0.050415301863244485
2022-07-05,2039.0,321610,0.013330239354825328,0.0501289022793405
2022-07-06,2100.0,226331,0.02947785313705909,0.05039890638856409
2022-07-07,2031.0,121199,-0.03340906213112963,0.04894584157314357
2022-07-08,2013.0,115447,-0.008902135940593154,0.047661776373809556
2022-07-11,1980.0,159035,-0.016529301951210582,0.045050663030278576
2022-07-12,1943.5,117867,-0.018606373396303104,0.045170500127902524
2022-07-13,1895.0,150571,-0.025271632775751156,0.044606062896031744
2022-07-14,1879.5,81359,-0.008213054512294033,0.04463506548506268
2022-07-15,1901.5,117788,0.01163726436408162,0.04393259677303111
2022-07-18,1876.0,123745,-0.013501197802144408,0.043810538628166286
2022-07-19,1813.5,85325,-0.03388317084321295,0.04395334000683221
2022-07-20,1771.0,136217,-0.023714320940123514,0.04420647196920167
2022-07-21,1759.0,107381,-0.006798893045275363,0.044267329545135584
2022-07-22,1854.0,225556,0.05260000138824232,0.045454446043558194
2022-07-25,1969.5,206901,0.06043423628516011,0.04693599561907554
2022-07-26,1994.5,251050,0.01261368893450078,0.034905431154347404
2022-07-27,1963.0,157744,-0.015919477069000227,0.03179654618228259
2022-07-28,1947.5,100804,-0.007927416531557777,0.03186941161031955
2022-07-29,1950.0,98970,0.0012828738128891231,0.031216811445169888
2022-08-01,1884.5,130864,-0.03416683885060231,0.026646920107790153
2022-08-02,1810.0,134778,-0.040335688447318725,0.027572914193570344
2022-08-03,1836.0,104562,0.014262446920564371,0.02674113657579084
2022-08-04,1869.5,82854,0.018081723236732645,0.026513815891582408
2022-08-05,1859.0,169459,-0.00563230669572442,0.026492997492186716
2022-08-08,1891.5,99828,0.01733145635163994,0.02672966272146393
2022-08-09,1917.5,84269,0.013652089168327263,0.02666624294226781
2022-08-10,2045.0,296984,0.06437553523549083,0.02967822511115879
2022-08-11,2149.5,440828,0.049837467459434195,0.031238258279047908
2022-08-12,2230.0,364594,0.03676632851782822,0.03194419823753302
2022-08-15,2252.0,253736,0.009817124805416454,0.03154238020490481
2022-08-16,2415.5,360890,0.0700875947348803,0.032628622888047375
2022-08-17,2430.5,615232,0.006190692491048923,0.031457518267886286
2022-08-18,2480.0,258785,0.020161562673517673,0.031011384726327237
2022-08-19,2700.0,588102,0.0849932128333925,0.0336892021701604
2022-08-22,2720.0,1279967,0.00738010729762246,0.03229799954410331
2022-08-23,2717.0,459010,-0.0011035498636952578,0.03252175247664959
2022-08-24,2579.5,973007,-0.051932748741643116,0.03523429265916486
2022-08-25,2626.0,424089,0.017866194178036955,0.03487290024204702
2022-08-26,2630.0,122484,0.0015220703090686718,0.03486800854493772
2022-08-29,2715.0,238994,0.031808107196225684,0.03304929371276647
2022-08-30,2688.5,392641,-0.009808536118303023,0.030831348203412413
2022-08-31,2712.5,202561,0.00888730159898222,0.030905340957372587
2022-09-01,2738.5,145096,0.009539606375061122,0.030985099845476663
2022-09-02,2766.5,185242,0.010172658114388474,0.030519523043456235
2022-09-05,2754.0,103410,-0.004528583049564252,0.03100310121917553
2022-09-06,2670.0,325101,-0.030975927894304905,0.032937583108665354
2022-09-07,2714.0,172725,0.01634508900051919,0.0309587902981243
2022-09-08,2768.5,615342,0.019882095868207498,0.029846061023274043
2022-09-09,2787.0,185922,0.0066600912189262685,0.02932049237774976
2022-09-12,2950.0,548047,0.05683942185191733,0.031042835089748325
2022-09-13,3010.0,588777,0.020134908409055807,0.028122410571202048
2022-09-14,2994.0,369789,-0.005329792763347715,0.028343257875848748
2022-09-15,3030.5,241095,0.012117336411765968,0.028254765442416417
2022-09-16,3106.0,538230,0.024608102317292675,0.02245256130626834
2022-09-16,3028.4,13280,-0.025301297479480827,0.0235844871711704
2022-09-19,3188.0,293267,0.05135933368095402,0.025653371136350363
2022-09-20,2781.0,1348550,-0.1365831856761408,0.03937455283660205
2022-09-21,2662.5,672570,-0.043545044216284245,0.0405923640549794
2022-09-22,2790.0,504814,0.0467760647977307,0.04188196459284744
2022-09-23,2552.0,484062,-0.08916423035073079,0.046025796299747866
2022-09-26,2105.0,671776,-0.19256189834819876,0.0625895284704077
2022-09-27,2413.0,625115,0.13655531950854985,0.07082542460878737
2022-09-28,2395.0,434421,-0.007487555780016116,0.07073297457662417
2022-09-29,2291.0,391174,-0.04439482739152007,0.0710993023897923
2022-09-30,2374.0,562307,0.03558789271611785,0.07180719933759751
2022-10-03,2636.0,515645,0.10468632045278442,0.07576382844099357
2022-10-04,2640.0,500778,0.001516300517964008,0.07566134190682092
2022-10-05,2557.0,425263,-0.03194422084917528,0.07578213220498163
2022-10-06,2523.0,510763,-0.013386026650128903,0.07576665278006534
2022-10-07,2372.5,373282,-0.06150441815697478,0.07530471950811445
2022-10-10,2483.5,416118,0.04572460406332223,0.07607312878459542
2022-10-11,2496.0,229249,0.0050205949419130595,0.07613898263782146
2022-10-12,2504.0,176581,0.0032000027306708497,0.07603425759060238
2022-10-13,2604.5,397627,0.03935126496525713,0.07645308480539072
2022-10-14,2568.5,262072,-0.013918647277923683,0.07636613571152714
2022-10-17,2702.0,364646,0.050670168612821725,0.07633798001759405
2022-10-18,2625.0,399106,-0.028911343494420035,0.07037658223488451
2022-10-19,2609.0,300449,-0.006113889888995636,0.06973319313657689
2022-10-20,2503.0,671123,-0.0414769937049542,0.06934103981016439
2022-10-21,2459.0,749887,-0.017735249215581603,0.06658590148732357
2022-10-24,2467.0,334080,0.0032480743131641054,0.04919362862866798
2022-10-25,2520.0,421821,0.02125606397611231,0.03903417630467793
2022-10-26,2500.0,289755,-0.007968169649176845,0.039040581757556356
2022-10-27,2497.0,262411,-0.001200720576518877,0.037494626158690036
2022-10-28,2503.0,172662,0.0024000011520009736,0.036764568181201544
2022-10-31,2620.0,506363,0.04568430532336837,0.029865492990431345
2022-11-01,2614.0,558182,-0.0022927025709752733,0.029865416205424135
2022-11-02,2536.0,283727,-0.030293578627050753,0.02977607988865484
2022-11-03,2519.0,257326,-0.006726039204506308,0.029660368848603593
2022-11-07,2600.0,249784,0.03164944765696332,0.026670311247342877
2022-11-08,2598.5,362911,-0.0005770895610768199,0.024858735017387015
2022-11-09,2520.5,355018,-0.030477060925811067,0.025897063469929135
2022-11-10,2672.0,785682,0.05836996113385082,0.02895844300647393
2022-11-11,2676.0,486443,0.001495886591582708,0.027683479448145625
2022-11-14,2789.5,521172,0.041539226037463864,0.028827008589896952
2022-11-15,2668.5,869665,-0.04434585151158349,0.028581263158797388
2022-11-16,2746.5,391005,0.0288108570086755,0.02848868950603081
2022-11-17,2783.0,303154,0.013202108743215733,0.028517183841675044
2022-11-18,2818.0,395977,0.012497930932734715,0.02654993594749095
2022-11-21,2798.0,583072,-0.007122537233199022,0.026155247573505784
2022-11-22,2798.5,313141,0.0001786831059877956,0.026184059676706534
2022-11-23,2728.5,669099,-0.025331551705127586,0.026847739905286
2022-11-24,2725.5,217897,-0.0011001101219510491,0.02673061056912934
2022-11-25,2691.5,217961,-0.012553238503323643,0.026973403117013135
2022-11-28,2645.0,204507,-0.01742759370861219,0.02738685190436032
2022-11-29,2692.0,109790,0.017613346472218745,0.025741045738324565
2022-11-30,2723.0,153187,0.011449801909141135,0.025821828665236732
2022-12-01,2705.0,109946,-0.006632301393177735,0.02478348465853938
2022-12-02,2681.5,84084,-0.008725572857601989,0.024829732816156247
2022-12-05,2719.0,235446,0.013887826209490835,0.0240615909595766
2022-12-06,2633.0,250492,-0.03214028513616127,0.025261110164892683
2022-12-07,2585.0,255900,-0.018398372553779845,0.02461361729069578
2022-12-08,2529.0,324339,-0.02190154027256431,0.02110631498923622
2022-12-09,2473.0,273078,-0.022391979148548947,0.021525131636270435
2022-12-12,2580.5,326039,0.04255119006736556,0.021638566108004558
2022-12-13,2553.5,313854,-0.010518211501083277,0.01952950939340741
2022-12-14,2490.5,190776,-0.02498147357436054,0.018720938534093633
2022-12-15,2496.5,226372,0.0024062574273257895,0.0183231710270591
2022-12-16,2504.9,16460,0.0033590626217899116,0.017962912071409192
2022-12-16,2504.5,119856,-0.00015969976478233408,0.018005169182542875
2022-12-19,2461.0,194091,-0.017521342406615573,0.01814371431428732
2022-12-20,2554.0,223157,0.03709298620142884,0.019995141314758234
2022-12-21,2522.0,181988,-0.012608520067619722,0.020093714242159996
2022-12-22,2570.0,229757,0.01885366136440055,0.020601051641395772
2022-12-23,2549.5,117274,-0.008008637394055027,0.02034330798850209
2022-12-26,2560.5,117692,0.004305290407394643,0.019886076811164805
2022-12-27,2614.5,244446,0.020870322725580377,0.020340366638101747
2022-12-28,2581.0,226350,-0.012895953909571389,0.020462761393292877
2022-12-29,2564.5,110102,-0.006413392889290726,0.020431330499140386
2022-12-30,2540.0,98526,-0.009599446816740872,0.02012887136657738
2023-01-03,2590.0,92567,0.019493794681001132,0.01955234876230994
2023-01-04,2587.0,104468,-0.001158972507554322,0.019111806992262913
2023-01-05,2574.0,48766,-0.005037794029957181,0.018453555548255222
2023-01-06,2555.0,59804,-0.007408885518267117,0.017749693608252036
2023-01-09,2612.0,185997,0.02206398775851686,0.015741397120675717
2023-01-10,2657.0,254102,0.017081455363491774,0.015923517166612562
2023-01-11,2692.5,168189,0.013272463270730067,0.014769336009159197
2023-01-12,2685.5,166088,-0.0026031996850295444,0.014838306309825635
2023-01-13,2720.0,221021,0.012764949944528864,0.014977047255983858
2023-01-16,2737.5,156277,0.00641321483471318,0.014950305259393094
2023-01-17,2679.0,150215,-0.02160150458014748,0.01528985142757989
2023-01-18,2677.5,98969,-0.0005600672227048736,0.013208711998483943
2023-01-19,2640.5,91628,-0.013915230174915933,0.01328963883119079
2023-01-20,2677.0,100480,0.01372847137336473,0.012999808412880183
2023-01-23,2701.0,124842,0.008925310272263029,0.012861642850868379
2023-01-24,2698.5,146672,-0.0009260117339180527,0.012884438838990814
2023-01-25,2683.5,105215,-0.005574150441813924,0.012255005677303784
2023-01-26,2664.5,111804,-0.007105489880046575,0.01196692899670253
2023-01-27,2675.5,82147,0.004119856014522439,0.011827036825274634
2023-01-30,2693.5,111684,0.006705184369229095,0.01153513639638784
2023-01-31,2772.0,301105,0.028727618189205367,0.012386221640197797
2023-02-01,2752.5,265875,-0.007059491712958848,0.012569333568586354
2023-02-02,2745.5,145201,-0.0025463818779077546,0.012496567314552422
2023-02-03,2751.5,119386,0.0021830097808862824,0.01224857389122196
2023-02-06,2791.0,174502,0.014253737036508647,0.011746651067638964
2023-02-07,2742.0,224043,-0.017712373414062475,0.012169289354162678
2023-02-08,2744.0,223738,0.0007291287235162065,0.011853815514395053
2023-02-09,2746.0,119526,0.0007285974821405398,0.011824667456577093
2023-02-10,2746.5,127336,0.00018206645475867488,0.011502489030793279
2023-02-13,2746.5,95820,0.0,0.011417599438204718
2023-02-14,2705.5,192360,-0.015040635699885188,0.010838916176667298
2023-02-15,2456.0,648493,-0.09675272781575686,0.0243061277694371
2023-02-16,2497.5,248936,0.016756221255675482,0.02463407568113826
2023-02-17,2483.0,129511,-0.005822725014541977,0.024330378967370277
2023-02-20,2476.5,184212,-0.0026212334798741926,0.024149816659631212
2023-02-21,2517.0,270519,0.016221443107023566,0.024577946492261787
2023-02-22,2478.5,150513,-0.015414177674687257,0.024720121308044473
2023-02-24,2642.5,565977,0.0640719002837642,0.02899877318232183
2023-02-27,2545.5,798001,-0.03739834440200202,0.03012142121494041
2023-02-28,2567.5,183649,0.00860556846032265,0.030154934745348905
2023-03-01,2559.5,129991,-0.003120735905075406,0.02925230276099006
2023-03-02,2511.0,245453,-0.019130846740052974,0.029442930006550915
2023-03-03,2534.0,125440,0.009118001723499277,0.02960067541772841
2023-03-06,2538.5,135717,0.001774273506364698,0.029596316699547903
2023-03-07,2542.5,68960,0.0015744935352659663,0.02931858476262905
2023-03-09,2532.0,73868,-0.004138344658648224,0.02915726372009298
2023-03-10,2523.0,109391,-0.0035608346230090694,0.029136539410465765
2023-03-13,2524.5,148240,0.0005943536579126636,0.029135360076863504
2023-03-14,2539.5,464149,0.0059241879423293075,0.029209066490076215
2023-03-15,2492.0,363198,-0.01888161033395591,0.029380403943780182
2023-03-16,2445.5,330267,-0.01883599992793187,0.029461751939025796
2023-03-17,2439.0,8500,-0.002661481763491645,0.020060313987129465
2023-03-17,2505.0,308896,0.026700615303044965,0.020621938208320558
2023-03-20,2536.5,376130,0.012496443487779505,0.020749136624068798
2023-03-21,2493.0,265679,-0.01729837348318678,0.02114223376814146
2023-03-22,2486.0,100251,-0.002811811452901414,0.020815206797308274
2023-03-23,2482.0,65843,-0.0016103063061039058,0.020525670027608686
2023-03-24,2462.0,94402,-0.008090659020153731,0.013982736137679232
2023-03-27,2500.0,170983,0.01531670411189324,0.012106564418141938
2023-03-28,2487.5,117160,-0.005012541823544286,0.011925302912358337
2023-03-29,2509.5,199724,0.008805340062240619,0.012140577812482923
2023-03-30,2514.5,111553,0.0019904465170310546,0.01137359596224927
2023-03-31,2486.5,162113,-0.011197877457226176,0.011430021792856574
2023-04-03,2500.0,148977,0.00541463270149894,0.01150436713645901
2023-04-04,2504.5,314842,0.0017983819413793973,0.011506871179828649
2023-04-05,2502.5,120030,-0.0007988816082958455,0.011479357047429098
2023-04-06,2499.0,144132,-0.0013995803544232435,0.01146003511030685
2023-04-07,2617.0,622102,0.046137971695193375,0.015497868240086966
2023-04-10,2744.0,665100,0.04738808631563,0.018551288976541774
2023-04-11,2640.0,606006,-0.03863779270541394,0.02027276530910286
2023-04-12,2658.5,238426,0.00698313680403139,0.019628649852363133
2023-04-13,2653.5,135957,-0.0018825306764435317,0.01961513767239807
2023-04-14,2675.0,166453,0.008069857062157296,0.018921172556180265
2023-04-17,2744.5,307107,0.025649528659837065,0.01947863563603248
2023-04-18,2734.5,203017,-0.003650305203116514,0.018926644647888666
2023-04-19,2684.5,248319,-0.018454112924203226,0.019562565122398727
2023-04-20,2690.0,240456,0.002046702733260578,0.01952598725765287
2023-04-21,2690.0,139735,0.0,0.019344762503737924
2023-04-24,2710.0,184840,0.007407441277861818,0.01919068843423499
2023-04-25,2687.0,138465,-0.008523305258255355,0.019293563004384656
2023-04-26,2693.5,134155,0.0024161335050972375,0.01926018990064466
2023-04-27,2777.5,534662,0.0307097793931966,0.02018704638199675
2023-04-28,2754.0,586346,-0.008496842225184953,0.020081924210116613
2023-05-02,2679.0,431221,-0.027610809743991393,0.021371824608649278
2023-05-03,2629.0,368148,-0.01884004481472752,0.02194668102700557
2023-05-04,2652.5,169664,0.008899045758256894,0.021978796868601522
2023-05-05,2615.5,126150,-0.014047307677472495,0.022289102725976003
2023-05-08,2610.0,70247,-0.0021050624939266327,0.0197596676600052
2023-05-10,2718.0,204263,0.04054609439435001,0.018935662118311162
2023-05-11,2675.0,317181,-0.015946935380982144,0.01712171791123944
2023-05-12,2670.0,111024,-0.0018709079358117313,0.017063949130919326
2023-05-15,2775.0,313171,0.03857227478623965,0.01908067877561662
2023-05-16,2892.0,455156,0.041297557098120434,0.020968360746072067
2023-05-17,2969.0,708060,0.026276891485104405,0.021003050604343553
2023-05-18,3026.0,662490,0.019016419584541366,0.021183192175147542
2023-05-19,2966.5,502672,-0.019858808649603286,0.021267436077065164
2023-05-22,3199.0,824758,0.07545545425082015,0.026438010512207365
2023-05-23,3139.5,588345,-0.018774709395353945,0.02708721297871135
2023-05-24,3227.0,961073,0.027489361497797765,0.027444628559818298
2023-05-25,3177.0,344509,-0.0156155577824457,0.027723695709668966
2023-05-26,3217.0,340949,0.01251189296951015,0.02770137770373233
2023-05-29,3417.5,765012,0.06046004135907838,0.029664478616314046
2023-05-30,3328.5,535581,-0.026387537557346272,0.030520678465634558
