date,price_MOEX,volume_MOEX,log_return_MOEX,volatility_MOEX
2020-03-04,96.5,27516840,-0.016240463842961017,0.01661365599857687
2020-03-05,94.88,52,-0.01651547939141044,0.016697162800338495
2020-03-06,90.05,51,-0.05277470627174213,0.019126385214621556
2020-03-10,89.44,105,-0.016741895557342328,0.019589554691300685
2020-03-11,92.64,43053270,0.028911343494420143,0.02094004941693482
2020-03-12,91.69,33074290,-0.02317788228341062,0.021686642354241652
2020-03-13,90.2,42,-0.011573565394022932,0.02098031283227823
2020-03-16,88.31,17,-0.019067423788283095,0.018445633198191355
2020-03-17,83.7,44,-0.04439981586813905,0.018795779468767655
2020-03-18,80.98,23379720,-0.03625738159145667,0.0197520045361843
2020-03-19,85.01,11,0.057622134619142215,0.02462380148338227
2020-03-20,91.5,78,0.033788499841295096,0.027824069180079652
2020-03-23,92.0,22,0.0,0.028109543130430088
2020-03-24,94.46,15138390,0.030745192787886375,0.028605673097278028
2020-03-25,92.97,23141100,-0.02349297522519792,0.028347567617817596
2020-03-26,92.0,24,-0.018949748779662233,0.02822786113818862
2020-03-27,93.48,21,0.007516410347059614,0.028154289773914033
2020-03-30,93.8,20,0.02231537649061476,0.028374472295967946
2020-03-31,97.25,21099430,0.03825459901500939,0.0270935670180896
2020-04-01,96.0,7,0.002920928427663698,0.025425633012462538
2020-04-02,95.41,51,-0.013533414965117225,0.021687978504058025
2020-04-03,98.22,26,0.009924878112542902,0.018661201266877307
2020-04-06,100.75,15675870,0.017522350692202492,0.016816471402156058
2020-04-07,101.37,19335760,0.030142972046316586,0.017855126747922417
2020-04-08,104.2,17419490,0.04104194833084194,0.01907551212085305
2020-04-09,106.32,9,0.02206251526361706,0.01860558884598517
2020-04-10,106.46,21,-0.004124490286388364,0.018774478329404192
2020-04-13,104.0,5,-0.013371736965889308,0.01840118447219808
2020-04-14,106.2,13665730,0.02739635858157491,0.017626336543891973
2020-04-15,105.65,11,-0.012323188731621974,0.017433478895852915
2020-04-16,107.8,6,0.048660302471957115,0.021065583099360217
2020-04-17,110.35,55,0.016169904225440325,0.020962170162391856
2020-04-20,111.8,14109190,-0.013945245308508616,0.02181159430246149
2020-04-21,111.0,20154700,-0.0013504390978714624,0.02015691690350664
2020-04-22,116.7,9,0.06213068252039283,0.022511280339524927
2020-04-23,118.03,9,0.01700387018777444,0.02242551518286029
2020-04-24,116.15,28,-0.01155587436779551,0.02274432189495213
2020-04-27,120.1,14647630,0.025894416899262973,0.02250253855665595
2020-04-28,124.78,28,0.031009605710883355,0.022452761614821837
2020-04-29,125.74,37,0.0031064583506127106,0.02199350312546676
2020-04-30,121.84,29,0.002794445806303348,0.0204680942981011
2020-05-04,119.6,18328970,-0.0052537334702864955,0.02087117089475068
2020-05-05,120.99,9668280,0.0016543969361993603,0.019822600690344815
2020-05-06,122.88,5,0.030657224296647263,0.02101959776013315
2020-05-07,124.59,45,0.014960049349820965,0.016087165243304318
