date,price_TCSG,volume_TCSG,log_return_TCSG,volatility_TCSG,price_MOEX,volume_MOEX,log_return_MOEX,volatility_MOEX
2021-11-12,7334.0,421715,-0.023448049075128107,0.026801761429988604,169.64,8092130,-0.00862807993748922,0.03124844894968919
2021-11-15,7422.6,660268,0.012008330465569586,0.026926638687813594,172.7,22,0.01876205712266971,0.03148229622942579
2021-11-16,7395.6,533297,-0.0036441713406431173,0.02683052386988947,169.0,20,-0.015791810166047165,0.03159369508188477
2021-11-17,7242.2,447986,-0.020960201131469795,0.026972205589315176,169.84,15,0.0034208231530407527,0.03156459703244006
2021-11-18,7382.0,370294,0.019119576965215955,0.027426998305999938,165.94,43,-0.015250123614154749,0.027305873470723625
2021-11-19,7094.4,517134,-0.039738864167951596,0.028572880777949526,167.76,30,0.014469947165862605,0.023556716035138016
2021-11-22,6615.8,869728,-0.06984501292146308,0.03179959678033219,154.35,19091030,-0.04713825367622308,0.02632089531458523
2021-11-23,7048.0,1189752,0.06328316111548621,0.03550060455530514,157.89,55,-0.000569854702475823,0.02702767346560568
2021-11-24,6888.0,864511,-0.022963121508448706,0.034844572392155035,161.97,44,0.015680739442238658,0.023740150164943994
2021-11-25,7262.0,573417,0.052874505866714314,0.036997762126156034,165.0,15,0.06737081111508332,0.02607421292377153
2021-11-26,6811.0,556612,-0.06411632073296275,0.039383293140696225,150.05,62,-0.04100058570285684,0.029333080997774853
2021-11-29,6938.2,437626,0.018503422624118863,0.0396544318960657,155.71,4,0.037026730966957154,0.030420725943869863
2021-11-30,7114.0,976949,0.02502229864296309,0.03711198825976857,154.76,18,0.017534588679944514,0.031047529946591337
2021-12-01,7358.0,789456,0.03372348315631913,0.03797539026616504,157.21,14539500,0.03930976997795547,0.03284104981996073
2021-12-02,7222.0,366240,-0.018656233827316564,0.03812608312907146,161.0,11520000,0.019442443722866475,0.03312336517892633
2021-12-03,7307.6,341407,0.011782979625011685,0.03783537866636309,160.5,13,-0.01232251884461442,0.03309351787470953
2021-12-06,6679.0,612947,-0.08994662673677883,0.04085865662667139,163.77,31,0.03713459605000196,0.03151199194795977
2021-12-07,6563.0,992197,-0.01752046025191318,0.04014841230535842,162.77,22,0.03800501204143186,0.03390962231456953
2021-12-08,6245.4,829891,-0.049602622724245087,0.04049818848671179,156.5,16,-0.023616681377354926,0.03425546939529557
2021-12-09,6322.4,671399,0.012253690141287873,0.040737921841890075,153.46,6,-0.01961606323068871,0.028610294954051575
2021-12-10,6310.2,432562,-0.001931511136727834,0.0406088946365609,157.97,16,0.024024987176191268,0.024804617585873993
2021-12-13,5919.8,730857,-0.06386470723045493,0.04220155266935682,148.15,9696580,-0.029136023992267522,0.025551336688402534
2021-12-14,5970.0,663534,0.00844426286306496,0.042403228331455135,152.98,14,0.015613479669962656,0.02530831612431022
2021-12-15,6140.2,349957,0.02811038751394446,0.043191067946513305,145.87,24,-0.014901782916830423,0.024153532025726232
2021-12-16,6112.6,768513,-0.0045051003330864115,0.04272356859054466,152.97,24,0.03980923695643769,0.025629932813873674
2021-12-17,6225.6,70780,0.018317608662783192,0.04252805524187631,145.41,31,-0.01596431776081329,0.026505264993569318
2021-12-17,6119.0,355210,-0.017271138767748606,0.039955661998917924,145.41,31,-0.01596431776081329,0.026505264993569318
2021-12-20,6006.2,277105,-0.018606415440398788,0.03677781217704065,150.78,29,0.02212924741761214,0.023956955442642477
2021-12-21,6105.0,430628,0.016315838522663315,0.03698475861870059,145.3,5938790,-0.002886401564125709,0.02292288950455516
2021-12-22,5960.0,365017,-0.024037626485409642,0.03444887606942492,147.1,13,0.010318175522157183,0.022738223721468834
2021-12-23,5972.8,241220,0.00214534810092409,0.03206176234415005,155.78,20,0.060055070342866494,0.026372956807417147
2021-12-24,5991.8,164133,0.0031760386425673517,0.03161100377366695,149.04,19,-0.0010059351014238584,0.026415171099608514
2021-12-27,6013.2,190714,0.003565184950792398,0.030809055999176226,153.0,4,0.022940879796683092,0.025842435877031666
2021-12-28,6099.0,286365,0.014167770542777082,0.029691701285085012,150.13,6,-0.01040330093027299,0.02466641117099641
2021-12-29,5960.8,345231,-0.022920123056938545,0.029776974286054653,152.57,5271060,0.0075660744499502315,0.02444060607400864
2021-12-30,6118.0,406761,0.026030545471331,0.030477555470115717,153.22,5319870,0.0014368756962393498,0.021240876840644712
2022-01-03,6364.4,249579,0.03948471632285273,0.025730896393940512,156.6,12,0.07152755343997222,0.02859827307279471
2022-01-04,6264.6,407072,-0.015805222509581673,0.025680700020644237,156.89,26,0.0027445365879295086,0.02823055584499822
2022-01-05,5805.0,392145,-0.07619512439212779,0.028760942421273226,150.0,27,-0.03890014895755647,0.028604711954702624
2022-01-06,5801.6,535256,-0.0005858735714599266,0.02852948790738722,151.74,20,0.02333594793282442,0.02912969236798939
2022-01-10,5830.0,315683,0.004883258784006028,0.02859985150629545,143.57,27,-0.03725780398597902,0.027085294306611475
2022-01-11,5945.0,358097,0.019533529780344207,0.025294344510512594,149.8,20,0.030500500506881786,0.02663088794063
2022-01-12,6192.8,471800,0.040836796765621464,0.02683907999953547,151.38,9701590,0.008957957782099391,0.026173559336995215
2022-01-13,5832.8,911428,-0.05989016739828315,0.029395899301943095,148.0,26,-0.01807883186833461,0.026335464535396723
2022-01-14,5509.8,1474537,-0.05696883464468902,0.03181884122881125,144.47,53,-0.021772734648641764,0.02654509782104493
2022-01-17,5295.0,1151079,-0.03976534581202473,0.03220849930338126,141.97,38,-0.016070776282198457,0.026652172475055722
2022-01-18,4720.0,1501990,-0.11495417945590576,0.04011029409369204,132.84,52,-0.04762804898925459,0.019827951608524935
2022-01-19,4650.0,2267661,-0.014941579998199027,0.040091601785479214,140.97,31,0.06574517919646311,0.02575751276145034
2022-01-20,4822.8,1177128,0.03648745266175374,0.04110347609167896,144.78,29,0.043334703457644896,0.026873553547033125
2022-01-21,4828.0,724572,0.001077630974266431,0.04109317718091987,145.98,20544990,0.013656326447485555,0.02639898822008397
2022-01-24,4600.0,1050611,-0.048375999740235764,0.04181927095660535,148.98,32,0.03671077667560264,0.026305871141382876
2022-01-25,4952.0,1229372,0.07373523188724558,0.046025602028695774,140.78,4,-0.017951275755138846,0.026917840047013437
2022-01-26,5089.8,1168547,0.027447001677312163,0.04668825126615326,144.0,13,0.00808817684975283,0.027172563036495307
2022-01-27,5400.0,1296311,0.05916041651062168,0.048862958893595564,146.0,4,0.033287663620135695,0.028363471734266506
2022-01-28,5421.2,1209488,0.003918239589495091,0.04874470781721623,153.77,5,0.05934511946976879,0.030948378308998513
2022-01-31,5587.0,631402,0.030125277317288014,0.0488891565028825,145.0,35,0.004146515961848618,0.034089880691013104
2022-02-01,5665.0,702711,0.01386442400295788,0.048002515594368876,145.57,7456800,0.0035785600091563503,0.03168373255572924
2022-02-02,5554.0,555374,-0.01978850559536182,0.04805435765988344,143.0,7,-0.09924394542526414,0.04078157485276011
2022-02-03,5235.0,663005,-0.05915154456210757,0.046881197586431854,137.91,13,-0.03554378644957547,0.04013125675122759
2022-02-04,5184.5,548835,-0.009693439306304414,0.04687858335511504,139.01,13,0.009541091532720215,0.04005012065169432
2022-02-07,5005.0,389571,-0.035235992249011854,0.047262146164343495,143.88,14,0.01958163420235684,0.03941924787654281
2022-02-08,5067.5,600682,0.012410186576834218,0.0470731390098536,139.09,30,-0.01781435167784066,0.0386174014568245
2022-02-09,5698.0,1505127,0.11726763673169857,0.05385864628472682,142.19,12337020,0.0009850831080861083,0.038731208797272584
2022-02-10,5846.5,1726909,0.025727955522519563,0.05258369480095094,154.44,31,0.05846188193517927,0.04030570953592912
2022-02-11,5314.5,1624033,-0.09540425760673678,0.05540640826267572,136.79,24,-0.023623999126018824,0.044052582236441325
2022-02-14,5223.0,1635481,-0.017366984537337687,0.05482201386079656,137.97,24,0.012911876504530172,0.04208295889113444
2022-02-15,5519.5,1798498,0.05521532702210759,0.04905580944369731,139.97,13,0.039938267097096636,0.04348613784357468
2022-02-16,5488.5,1452047,-0.005632282331035207,0.04887225266562154,143.98,19,0.046050483934530824,0.033998172193420294
2022-02-17,5147.0,1120506,-0.06424097347461669,0.050959042569048874,137.0,34,-0.035071183691097,0.034137283657800034
2022-02-18,4821.5,1519233,-0.0653289377023154,0.05322143927669541,133.16,15903650,-0.031999774482318236,0.03478856807081
2022-02-21,4475.0,2862648,-0.07457873124148336,0.054773121018337506,118.78,46477680,-0.12056675736319723,0.0430552653966376
2022-02-22,4488.5,2787301,0.003012218487787352,0.05187488043483031,113.0,73,-0.1398388920885591,0.05711165858740417
2022-02-24,3039.5,2692930,-0.389825542007966,0.09987708147686235,90.78,41,-0.2433392085958621,0.07726491957558493
2022-02-25,3054.5,2804947,0.0049228849010444125,0.09817122515531221,119.16,35,0.25282614436622797,0.09744626322013078
2022-03-29,2990.0,771383,-0.021342525705089516,0.09789444622837327,86.06,23,-0.08291670888418776,0.10674391833206805
2022-03-30,2787.9,155120,-0.06998476315332874,0.09722880697971004,85.13,16,-0.03791868850213158,0.10739493530990966
2022-03-30,2980.0,362139,0.0666346762680468,0.0993114305347504,85.13,16,-0.03791868850213158,0.10739493530990966
2022-03-31,3318.5,742478,0.10758957308652961,0.10411220561356291,98.88,24,0.07211841666034038,0.11150411927536318
2022-04-01,3499.5,763964,0.053107227543614674,0.10523668443624855,113.77,30,0.1340212223870781,0.11129302906712743
2022-04-04,3664.0,661394,0.045935345664426606,0.10625744100230064,115.88,14,0.038979113069271765,0.10711914775637447
2022-04-05,3601.0,492910,-0.0173438621451457,0.10617426776025578,103.65,6584740,-0.06914079429723992,0.09301049068076817
2022-04-06,3500.0,243495,-0.028448616171370168,0.10598241889458526,102.0,25,-0.014695413111387813,0.0523882233388653
2022-04-07,3470.0,226810,-0.008608374536600164,0.10112131287684287,104.0,13,0.01892800988551886,0.05154890060659589
2022-04-08,3274.5,322991,-0.057989408282796646,0.1006513630041742,101.78,4,-0.013661414655817288,0.0506612197653556
2022-04-11,3269.0,165822,-0.0016810579338976958,0.09957219545459206,101.86,26,-0.004212595012457495,0.05001841230147098
2022-04-12,3217.0,178575,-0.016034879485184214,0.0995775209291591,104.97,5,0.04083390275539533,0.0462293164953869
